 DRACARYS_GLOSS:0 "Alto Valyriano per "fuoco di drago" - usato dai signori dei draghi per comandare le fiamme ai propri draghi."
d_nf_takapis: "$dynn_Takapis$ Famiglia"
feature_dragon_doll_fuschia:0 "fucsia"
feature_dragon_doll_orange:0 "arancione"
feature_dragon_doll_grey:0 "grigio"
feature_dragon_doll_plain:0 "semplice"
feature_dragon_doll_silver:0 "argento"
feature_dragon_doll_bronze:0 "bronzo"
feature_dragon_doll_light_blue:0 "azzurro"
vs_sting_description:0 "Un'eccelsa spada lunga con una lama in acciaio di Valyria fortemente rastremata, tagliente e accurata come un pungiglione. Include un'impugnatura marmorea a spirale e un'elaborata elsa dorata che ne esalta il design lucido. Una liscia gemma d'ambra giace nel pomolo a forma di goccia, conferendo all'arma un aspetto elegante e al tempo stesso letale."
bookmark_82_aemon_targaryen_subheading: "Principe di Roccia del Drago"
bookmark_82_mors_martell_subheading: "Principe di Dorne"
bookmark_106_daemon_targaryen_subheading: "Il Principe Ribelle"
bookmark_106_corlys_velaryon_subheading: "Signore delle Maree"
bookmark_106_craghas_drahar_subheading: "Ammiraglio della Triarchia"
bookmark_106_craghas_drahar:0 "Craghas ‘Mangiagranchi’"
bookmark_170_tenesio_velaron_subheading:0 "Re del Mare di Braavos"
bookmark_170_syssilio_estatis_subheading:0 "Principe di Pentos"
bookmark_170_donalo_prestayn_subheading:0 "L'Esule Re del Mare"
bookmark_170_aryse_ranennox_subheading:0 "Il Capitano Mercenario"
bookmark_170_donalo_prestayn:0 "Donalo"
bookmark_209_dagon_greyjoy_subheading:0 "Signore delle Isole di Ferro"
bookmark_209_daemon_blackfyre_subheading:0 "Il Rampollo Blackfyre"
bookmark_209_valarr_targaryen_subheading:0 "Principe di Roccia del Drago"
bookmark_209_maekar_targaryen_subheading:0 "Principe di Sala dell'Estate"
bookmark_209_duncan_tall_subheading:0 "Il Cavaliere Errante"
bookmark_233_aegon_targaryen_subheading:0 "Principe di Sala dell'Estate"
bookmark_233_estyn_peake_subheading:0 "Signore di Starpike"
bookmark_233_gerold_lannister_subheading:0 "Guardiano dell'Ovest"
bookmark_239_lyonel_baratheon_subheading:0 "Lord Protettore delle Terre della Tempesta"
bookmark_239_garlan_tyrell_subheading:0 "Lord Protettore di L'Altopiano"
bookmark_239_bloodraven_subheading:0 "Lord Comandante dei Guardiani della Notte"
bookmark_239_bittersteel_subheading:0 "Capitano-Generale della Compagnia Dorata"
bookmark_239_bloodraven:0 "Brynden ‘Sangue di Corvo’"
bookmark_239_bittersteel:0 "Aegor ‘Acciaioamaro’"









 bookmark_259_maelys_blackfyre_subheading:0 "Il Rampollo Blackfyre"
bookmark_259_jaehaerys_targaryen_subheading:0 "Principe di Roccia del Drago"
bookmark_259_tytos_lannister_subheading:0 "Guardiano dell'Ovest"
bookmark_282_eddard_stark_subheading:0 "Signore di Winterfell"
bookmark_282_rhaegar_targaryen_subheading:0 "Principe di Roccia del Drago"
bookmark_282_tywin_lannister_subheading:0 "Guardiano dell'Ovest"
bookmark_282_robert_baratheon_subheading:0 "Lord Protettore delle Terre della Tempesta"
TITLE_CONTENT_CONTRIBUTORS:1 "#credits_subheader Collaboratori dei contenuti#!"
dornish_building_gfx:0 "Architettura di Dorne"
qohorik_building_gfx:0 "Architettura di Qohor"
lorathi_building_gfx:0 "Architettura di Lorath"
sarnori_building_gfx:0 "Architettura di Sarnor"
myrish_building_gfx:0 "Architettura di Myr"
name_list_andalosi:0 "Andalosi"
king_free_city_male_bob:0 "Bob"
king_free_city_female_bob:0 "Bob"
unknown_culture:0 "Sconosciuta"
unknown_culture_prefix:0 "Sconosciuta"
unknown_culture_collective_noun:0 "Sconosciuti"
candling:0 "Candling"
candling_prefix:0 "Candling"
candling_collective_noun:0 "Candlings"
agot_tradition_candling_name:0 "Sotto la Grande Candela"
agot_tradition_candling_desc:0 "Salute alla Grande Candela. Tutti adoreranno la Grande Candela. La Grande Candela è saggia. La Grande Candela è la nostra padrona; sceglierà chi dovrà andare e chi dovrà restare. CAN-DLE, CAN-DLE, CAN-DLE."
agot_expose_my_true_parentage_decision_cadet_tooltip:0 "Tu e i tuoi figli formerete una nuova [bastard_house|E]."
agot_become_legitimate_house_decision_north_tooltip:0 "Se Casa [ROOT.Char.GetHouse.GetNameNoTooltip] manterrà abbastanza a lungo il titolo del Nord, potremo diventare la [agot_legitimate_house|E] del Nord."
agot_become_legitimate_house_decision_desc_iron_throne:0 "Dopo aver mantenuto il Trono di Spade sotto la tua casata per generazioni, Casa [GetTitleByKey('e_the_iron_throne').MakeScope.Var('legitimate_house').House.GetNameNoTooltip] non è più considerata il vero sovrano del Trono di Spade. Casa [ROOT.Char.GetHouse.GetNameNoTooltip] è ora il vero padrone di queste terre agli occhi dei lord e del popolino; Westeros stessa è nostra per sempre!"
agot_melee.16.desc:0 "La lama colpisce lo scudo mentre si combatte l'ultima battaglia, e che battaglia si rivela! Le tribune esplodono in un boato quando [winner.Custom('IT_NAM_COL3')][winner.GetTitledFirstName] sferra il colpo finale, suggellando [Select_CString(winner.IsFemale,'la sua','il suo')] vittoria.\n\nQuesta Grande Mischia è stata un affare glorioso e, se il nome [winner.Custom('IT_NAM_COL2')][winner.GetTitledFirstName] riecheggerà senza dubbio nella mente del popolino e dei nobili, anche il mio, forse, resterà nei loro ricordi."
agot_take_new_face_decision:0 "Assumi un Nuovo Volto"
agot_take_new_face_decision_desc:0 "Assumerò un nuovo volto al servizio del Dio dai Mille Volti."
agot_take_new_face_decision_tooltip:0 "Sceglierai un altro volto da un personaggio dello stesso sesso."
agot_take_new_face_decision_tt:0 "Assumere un nuovo volto sostituirà l'aspetto e l'età del tuo personaggio, ma conserverai il personaggio attuale, le terre e i titoli."
agot_take_new_face_multiple_player_warning_tt:0 "@warning_icon! Questa è una sessione multigiocatore: il trasferimento del giocatore al nuovo personaggio non è automatico."
agot_take_new_face_decision_confirm:0 "Mostrami la Sala dei Volti"
agot_has_taken_face_recently:0 "Hai indossato di recente un nuovo volto"
agot_faceless_new_adventure_decision:0 "Inizia un'Avventura dal Volto Nuovo"
agot_faceless_new_adventure_decision_desc:0 "Abbandonerò le mie vecchie vie e tutti coloro che conosco, assumendo un nuovo volto, una nuova vita e un nuovo scopo al servizio del Dio dai Mille Volti."
agot_faceless_new_adventure_decision_tooltip:0 "Abbandonerai il tuo personaggio attuale per iniziare una nuova avventura con un nuovo volto."
agot_faceless_new_adventure_decision_tt:0 "Dopo aver assunto un nuovo volto:\n$EFFECT_LIST_BULLET$Abbandonerai il tuo personaggio attuale e passerai a uno nuovo. Verranno mantenuti solo il tuo [gold|E], gli [artifacts|E] non di corte, i [traits|E] e la [faith|E]. Il resto è determinato dal volto che selezioni.\n$EFFECT_LIST_BULLET$ Inizierai a giocare come personaggio senza terre di una nuova casata."
agot_faceless_new_adventure_decision_confirm:0 "Una nuova vita mi attende"
reinstate_incest_decision_desc:0 "Un tempo la nostra casata prosperò grazie alla purezza della propria stirpe, preservata tramite la pratica dell'incesto. Sebbene ci siamo allontanati da tale tradizione, la dottrina d'eccezionalismo della fede permane, concedendoci il diritto di mantenere quest'antica usanza. Dovremmo abbracciare la nostra eredità e ristabilire la tradizione che un tempo ci definiva?"
agot_create_dorne_old_gods_effect:0 "Tutte le contee e i sovrani nel tuo reame che seguono [GetReligionByKey('the_pact_religion').GetName] nella [region|E] di [GetGeographicalRegion('world_westeros_dorne').GetName] si convertiranno a [GetFaithByKey('old_gods_dns').GetName]. Anche altre contee e sovrani che seguono [GetReligionByKey('the_pact_religion').GetNameNoTooltip] nella regione potrebbero convertirsi."
pact_present_in_dorne_realm:0 "Almeno sei contee nel tuo reame, nella regione di [GetGeographicalRegion('world_westeros_dorne').GetName], devono seguire [GetReligionByKey('the_pact_religion').GetName]"
pact_present_in_dorne_region:0 "Almeno otto contee nella regione di [GetGeographicalRegion('world_westeros_dorne').GetName] devono seguire [GetReligionByKey('the_pact_religion').GetName]"
epidemic_events.1100.d: "Convoca un maestro!"
coronation.0003.desc_seven_kingdoms:0 "È con grande onore e fervida attesa che io, [sender.GetFirstNameNoTooltip|U], di Casa [sender.GetHouse.GetName|U], [sender.GetTitleAsNameNoTooltip|U] degli Andali, dei Rhoynar e dei Primi Uomini, [sender.GetLadyLord|U] dei Sette Regni e Protettore del Reame, ti porgo questo invito. La fausta occasione della mia [GetActivityType('activity_agot_coronation').GetName|l] avrà luogo in [county.GetNameNoTier] presso [barony.GetNameNoTier]."
coronation.0003.desc_other:0 "È con grande onore e fervida attesa che io, [sender.GetFirstNameNoTooltip|U], di Casa [sender.GetHouse.GetName|U], [sender.GetTitleAsNameNoTooltip|U] di [sender.GetPrimaryTitle.GetNameNoTierNoTooltip], ti porgo questo invito. La fausta occasione della mia [GetActivityType('activity_agot_coronation').GetName|l] avrà luogo in [county.GetNameNoTier] presso [barony.GetNameNoTier]."
coronation.0006.b.tt:0 "Attenderai che la guerra sia risolta prima di ospitare una [GetActivityType( 'activity_agot_coronation' ).GetName]"
coronation.0100.desc_diplo:0 "Il giorno è finalmente giunto: sarò incoronat[Select_CString(coronation_target.IsFemale,'a','o')] formalmente [coronation_target.GetTitleAsNameNoTooltip|U] del [coronation_target.GetPrimaryTitle.GetNameNoTierNoTooltip]. Mentre i preparativi procedono, la mia mente è già rivolta a ciò che verrà dopo. Dietro tutti i rituali e le cerimonie, le incoronazioni sono prima di tutto eventi politici. Nonostante i sorrisi e la deferenza, mi chiedo se i miei vassalli accetteranno il mio dominio."
coronation.0100.desc_seducer:0 "Il giorno è finalmente giunto: sarò incoronat[Select_CString(coronation_target.IsFemale,'a','o')] formalmente [coronation_target.GetTitleAsNameNoTooltip|U] del [coronation_target.GetPrimaryTitle.GetNameNoTierNoTooltip]. La mia attenzione vaga dalla cerimonia imminente ai giovani e avvenenti servitori che si affaccendano intorno. Mi chiedo se potrei discretamente persuaderne uno o due a sottrarsi con me, prima che l'evento abbia inizio. Difficilmente qualcuno se ne accorgerebbe."
coronation.9000.tt:0 "[previous_host.GetUIName|U] ha ricevuto un rimborso per la [GetActivityType('activity_agot_coronation').GetName] annullata: [gold_i][THIS.Var('gwedding_gold_recoup_value').GetValue|V0]"
coronation.2011.a.success_join:0 "All'inizio della [Concept('agot_mega_wars', 'Mega War')|E] di [coronation_claimant.GetTitledFirstNamePossessiveOrMy|U], i vassalli diretti di [potential_supporter.GetTitledFirstNamePossessiveOrMy] si uniranno come Attaccanti"
coronation.2011.a.failure_join:0 "All'inizio della [Concept('agot_mega_wars', 'Mega War')|E] di [coronation_claimant.GetTitledFirstNamePossessiveOrMy|U], i vassalli diretti di [potential_supporter.GetTitledFirstNamePossessiveOrMy] saranno liberi di unirsi a una delle due parti o di restare neutrali"
coronation.1130.c.tt:0 "#V Convincerai un pretendente presente a rivendicare il [coronation_target.GetPrimaryTitle.GetNameNoTierNoTooltip]#!.\n\n@warning_icon! #warning Se avrà successo, verrà innescata una [Concept('agot_mega_wars', 'Mega War')|E]#!"
bank_needs_no_cash:0 "La banca dispone di riserve di contante sufficienti e al momento non accetta nuovi investimenti"
not_in_a_megawar_realm:0 "Il tuo reame non può essere diviso dalla guerra"
rename_bank_decision:0 "Rinomina la Banca"
rename_bank_decision_desc:0 "I nomi hanno potere. Ultimamente ho iniziato a temere che la [ROOT.Char.Custom('agot_bank_name')] non ispiri la fiducia che dovrebbe. Un nome nuovo potrebbe ridare vigore alla sua immagine e assicurare maggiore credito e più investimenti."
rename_bank_decision_tooltip:0 "Scegli un nuovo nome per la tua banca"
rename_bank_decision_tooltip_confirm_text_desc:0 "Diamole un nome degno d'essere ricordato."
agot_rename_bank_decision_effect_tooltip:0 "Potrai selezionare un nuovo nome per la banca."
agot_banking.0607.t:0 "Il Peso di un Nome"
agot_banking.0607.desc:0 "Un nome può plasmare la percezione, definire l'eredità e gravare ben oltre la moneta. In quanto direttore della banca, il privilegio — e il potere — di rinominarla ricade ora su di me. Il nome attuale ha compiuto il suo corso, ma credo che non basti più. Se questa istituzione deve riflettere le mie ambizioni, allora deve portare un nome degno di esse."
agot_banking.0607.a:0 "Un nome appropriato."
bank_name_fallback:0 "Banca [ROOT.Char.GetCulture.GetNameNoTooltip]"
agot_banking.0104.desc:0 "Che crudele ironia: un uomo senza volto inviato dalla banca si rivela ai miei occhi proprio mentre ero perso nei miei pensieri, intento a rimuginare sul problema spinoso che la mia insolvenza era divenuta. Avendo assunto l'identità di un servitore, l'individuo non ha avuto difficoltà ad avvicinarsi di soppiatto e a posarmi una lama alla gola.\n\nIl sangue scorre copioso, e il gesto è stato compiuto con tale precisione che non riesco neppure a forzare un grido d'aiuto dalle labbra.\n\nNella mia agonia fugace, capisco che i miei creditori hanno perso la pazienza e sperano che il mio erede sia più collaborativo."
agot_banking.0203.desc:0 "La [ROOT.Char.Custom('agot_bank_name')] ha inviato un emissario in risposta alla mia richiesta d'acquistare azioni. Per ogni azione che possiedo, riceverò [Concept('agot_bank_dividend_level','dividends')|E] ogni cinque anni. E se mai dovessi trovarmi in gravi difficoltà finanziarie, potrei sempre venderla in cambio di una somma immediata.\n\nIl prezzo attuale di un'azione è @gold_icon! [ROOT.Var('ShareBuyingPrice').GetValue|2|N]."
buy_shares_decision_shareholder_IB_desc:0 "La [ROOT.Char.Custom('agot_bank_name')] accetta nuovi investimenti.\n\nAttualmente possiedo [ROOT.Var('IB_Shares').GetValue] azioni, ma farei bene ad acquisirne una quota maggiore finché posso. Una quota più grande significa un [Concept('agot_bank_dividend_level','dividend')|E] più cospicuo dai [Concept('agot_bank_profits','profits')|E] della banca."
buy_shares_decision_shareholder_bank1_desc:0 "La [ROOT.Char.Custom('agot_bank_name')] accetta nuovi investimenti.\n\nAttualmente possiedo [ROOT.Var('bank1_Shares').GetValue] azioni, ma farei bene ad acquisirne una quota maggiore finché posso. Una quota più grande significa un [Concept('agot_bank_dividend_level','dividend')|E] più cospicuo dai [Concept('agot_bank_profits','profits')|E] della banca."
buy_shares_decision_shareholder_bank2_desc:0 "La [ROOT.Char.Custom('agot_bank_name')] accetta nuovi investimenti.\n\nAttualmente possiedo [ROOT.Var('bank2_Shares').GetValue] azioni, ma farei bene ad acquisirne una quota maggiore finché posso. Una quota più grande significa un [Concept('agot_bank_dividend_level','dividend')|E] più cospicuo dai [Concept('agot_bank_profits','profits')|E] della banca."
buy_shares_decision_shareholder_bank3_desc:0 "La [ROOT.Char.Custom('agot_bank_name')] accetta nuovi investimenti.\n\nAttualmente possiedo [ROOT.Var('bank3_Shares').GetValue] azioni, ma farei bene ad acquisirne una quota maggiore finché posso. Una quota più grande significa un [Concept('agot_bank_dividend_level','dividend')|E] più cospicuo dai [Concept('agot_bank_profits','profits')|E] della banca."
buy_shares_decision_desc:0 "L'oro che giace inerte non serve a nulla. Se la mia banca locale è aperta agli investitori, potrei acquistare un'azione — e con essa, una voce nei suoi affari e una parte dei suoi [agot_bank_profit|E]."
buy_shares_decision_tooltip:0 "Acquista azioni della tua banca locale"
buy_shares_decision_effect:0 "Ti sarà offerta la possibilità di acquistare azioni della banca a un prezzo determinato dalla sua valutazione attuale."
agot_banking.0503.c_tt:0 "Vai in insolvenza sul tuo prestito e non paghi nulla. Il prestito sarà esteso di altri cinque anni, e [vassal_loan_creditor.Custom('IT_NAM_COL3')][vassal_loan_creditor.GetTitledFirstName] otterrà un aggancio debole su di te."
agot_banking.0503.d_tt:0 "Vai in insolvenza sul tuo prestito una seconda volta. Il prestito sarà concluso, e [vassal_loan_creditor.Custom('IT_NAM_COL3')][vassal_loan_creditor.GetTitledFirstName] otterrà un aggancio forte su di te in cambio."
agot_banking.0503.e_tt:0 "Rifiuti di ripagare. Ciò annulla il prestito, ma [vassal_loan_creditor.Custom('IT_NAM_COL3')][vassal_loan_creditor.GetTitledFirstName] otterrà una rivendicazione sul tuo titolo principale in cambio."
agot_events_bastard.reveal_tt:0 "Dirai a [reveal_scope.GetName] la verità sulle origini di sangue [Select_CString(reveal_scope.IsFemale,'di lei','di lui')]."
agot_events_bastard.reveal_warning_cadet:0 "Tu e i tuoi figli formerete una nuova [bastard_house|E]."
agot_events_bastard.reveal_warning:0 "@warning_icon! #warning Ciò potrebbe avere grandi implicazioni per te e per il reame.#!"
agot_events_bastard.reveal_warning_letter:0 "Invierai lettere a ogni angolo di Westeros.\n@warning_icon!#warning Ciò potrebbe avere grandi implicazioni per te e per il reame.#!"
agot_events_bastard.realm_ruler_react_wait:0 "Ora resta da vedere come reagirà il reame, e [ruler_scope.GetFirstNameOrMe]."
agot_events_bastard.host_response_choice:0 "Spetterà a [reveal_employer.GetNameNoTooltip] rispondere alla tua richiesta."
agot_events_bastard.personal_response_choice:0 "Spetterà a [reveal_scope.GetNameNoTooltip] rispondere alla tua richiesta."
agot_events_bastard.demand_reject_harsh:0 "Questa è una richiesta oltraggiosa! Ciò significa guerra!"
agot_events_bastard.demand_reject_light:0 "Questa è una punizione per la nascita. Non lo tollererò."
agot_events_bastard.demand_reject_flavor:0 "Rifiuterai la richiesta di [ruler_scope.GetNamePossessiveNoTooltip]."
agot_events_bastard.demand_reject_tt:0 "@warning_icon! #warning Ciò ti porrà irrevocabilmente sul sentiero della guerra contro il Trono di Spade.#!"
agot_events_bastard.demand_accept_harsh:0 "Per quanto mi addolori, accetterò in nome della pace."
agot_events_bastard.demand_accept_light:0 "Accetterò la relativa clemenza di [ruler_scope.GetNamePossessiveNoTooltip]."
agot_events_bastard.demand_accept_flavor:0 "Accetterai la richiesta di [ruler_scope.GetNamePossessiveNoTooltip]."
agot_events_bastard.unjust_warning_tt:0 "Il reame potrebbe mal sopportare richieste giudicate ingiuste."
agot_events_bastard.no_demand_acknowledge:0 "Un sollievo, senza dubbio."
agot_events_bastard.0901.t:0 "Questioni di Nascita"
agot_events_bastard.0901.desc:0 "Ogni volta che poso lo sguardo su [reveal_scope.GetFirstName], non posso fare a meno di pensare alla verità del sangue [Select_CString(reveal_scope.IsFemale,'di lei','di lui')], e ai pericoli che una simile verità porta con sé. Per quanto desideri che [reveal_scope.GetHerHim] viva una vita lunga e spensierata, devo anche riconoscere che l'intera esistenza [Select_CString(reveal_scope.IsFemale,'di lei','di lui')] è edificata su una menzogna. Non è giusto per [reveal_scope.GetHerHim] che [Select_CString(reveal_scope.IsFemale,'lei','lui')] viva e muoia senza mai conoscere la verità del sangue reale [Select_CString(reveal_scope.IsFemale,'di lei','di lui')]. Non posso più essere l'artefice di questa ingiustizia."
agot_events_bastard.0901.desc.jon:0 "Ogni volta che guardo [reveal_scope.GetFirstName], ricordo promesse fatte e pericoli a lungo sopiti, ma vedo anche un bambino la cui intera vita è costruita su una menzogna. \"Promettimelo, Ned\".\n\nNo. Non è giusto per [reveal_scope.GetHerHim] che [Select_CString(reveal_scope.IsFemale,'lei','lui')] viva e muoia senza mai conoscere la verità. Ho amato mia sorella, e amo suo figlio come fosse mio. Lei non vorrebbe che [reveal_scope.GetHerHim] fosse cresciut[Select_CString(reveal_scope.IsFemale,'a','o')] senza conoscere la verità. Per quanto mi addolori, e possa addolorare ancor più il reame, non posso più essere l'artefice di questa ingiustizia."
agot_events_bastard.0901.a:0 "[reveal_scope.GetFirstNameNoTooltip], devo dirti che i tuoi veri genitori sono."
agot_events_bastard.0901.a.jon:0 "[reveal_scope.GetFirstNameNoTooltip], è giunta l'ora della verità. Non sono tuo padre."
agot_events_bastard.0901.b:0 "No, il momento non è ancora quello giusto."
agot_events_bastard.0901.b.jon:0 "Eppure devo. Il mio senso di colpa non può pesare più della promessa che feci."
agot_events_bastard.0902.t:0 "Una Verità Sconvolgente"
agot_events_bastard.0902.desc.jon:0 "Mio padre mi chiede di unirmi a lui per una cavalcata fuori dal castello, conducendomi in un boschetto di querce dove smontiamo e ci sediamo. Non l'ho mai visto così in ansia — fatica perfino a guardarmi negli occhi.\n\nComincia raccontandomi del torneo di Harrenhal, di sua sorella e della ribellione di Robert di tanti anni fa. Inizio a chiedermi perché mi stia narrando una storia che conosco da sempre, eppure, man mano che aggiunge particolari, non riesco a credere a dove pare condurre.\n\n\"Non c'è modo facile di dirlo, quindi lo dirò schiettamente. [ROOT.Char.GetFirstNameNoTooltip], ti ho mentito. Non sono tuo padre. Il tuo vero padre era [real_father.GetName], e tu nascesti in un letto di rose d'inverno da mia sorella, Lyanna Stark. Giurai di custodire questo segreto, ma non sono riuscito a proseguire nell'inganno. Temo soltanto di averti fatto barattare un fardello con uno più gravoso, ma almeno potrai decidere tu stesso che farne di questa verità\".\n\nLe foglie di quercia frusciano nel vento. Vorrei rifiutare questa rivelazione, urlare al vento che non è vera, ma nel cuore so che lo è. L'unica domanda è che farne."
agot_events_bastard.0902.desc.father:0 "Mio padre mi chiede di unirmi a lui per una cavalcata fuori dal castello, conducendomi in un boschetto nel folto della foresta. \"Per non essere uditi\", dice con tono severo.\n\nSmontiamo e ci sediamo. Non l'ho mai visto così in ansia — fatica perfino a guardarmi negli occhi. \"Non c'è modo facile di dirlo, quindi lo dirò schiettamente. [ROOT.Char.GetFirstNameNoTooltip], i tuoi veri genitori sono [real_mother.GetName] e [real_father.GetName]. Giurai di custodire questo segreto, ma non sono riuscito a proseguire nell'inganno. Temo soltanto di averti fatto barattare un fardello con uno più gravoso, ma almeno potrai decidere tu stesso che farne di questa verità\".\n\nLe foglie frusciano nel vento. Vorrei rifiutare questa rivelazione, urlare che non è vera, ma nel cuore so che lo è. L'unica domanda è che farne."
agot_events_bastard.0902.desc.mother:0 "Mia madre mi chiede di unirmi a lei nella sala di ricevimento, prendendomi per mano e scacciando i servitori. Non l'ho mai vista così in ansia — fatica perfino a guardarmi negli occhi.\n\n\"Non c'è modo facile di dirlo, quindi lo dirò schiettamente. [ROOT.Char.GetFirstNameNoTooltip], i tuoi veri genitori sono [real_mother.GetName] e [real_father.GetName]. Giurai di custodire questo segreto, ma non sono riuscita a proseguire nell'inganno. Temo soltanto di averti fatto barattare un fardello con uno più gravoso, ma almeno potrai decidere tu stesso che farne di questa verità\".\n\nVorrei rifiutare questa rivelazione, urlare al cielo che non è vera, ma nel cuore so che lo è. Ora, o in futuro, devo decidere che farne."
agot_events_bastard.0902.a:0 "Non mi nasconderò. Il mondo intero deve saperlo."
agot_events_bastard.0902.b:0 "È troppo! Ho bisogno di tempo per pensare."
agot_events_bastard.0902.b.flavor:0 "Potrai rivelare tu stesso la verità più avanti, se lo desideri."
agot_events_bastard.0903.t:0 "Questioni di Nascita"
agot_events_bastard.0903.desc:0 "Ogni volta che penso a [reveal_scope.GetFirstName], non posso fare a meno di ricordare la verità del sangue [Select_CString(reveal_scope.IsFemale,'di lei','di lui')], e ai pericoli che una simile verità porta con sé. Per quanto desideri che [reveal_scope.GetHerHim] viva una vita lunga e spensierata, devo anche riconoscere che l'intera esistenza [Select_CString(reveal_scope.IsFemale,'di lei','di lui')] è edificata su una menzogna. Non è giusto per [reveal_scope.GetHerHim] che [Select_CString(reveal_scope.IsFemale,'lei','lui')] viva e muoia senza mai conoscere la verità del sangue reale [Select_CString(reveal_scope.IsFemale,'di lei','di lui')]. Non posso più essere l'artefice di questa ingiustizia."
agot_events_bastard.0903.desc.jon:0 "Ricordo bene le promesse che feci a Lady Lyanna e i giuramenti che prestai agli Stark ancor prima della ribellione. Forse non spetta a me decidere, eppure non posso fare a meno di pensare al bambino la cui intera vita è costruita su una menzogna.\n\nNo. Non è giusto per [reveal_scope.GetHerHim] che [Select_CString(reveal_scope.IsFemale,'lei','lui')] viva e muoia senza mai conoscere la verità. Per quanto molti lo riterranno ingiusto da parte mia, devo lasciare che la verità venga alla luce. Per quanto mi addolori, e possa addolorare ancor più il reame, non posso più essere l'artefice di questa ingiustizia."
agot_events_bastard.0903.a:0 "Manderò un corvo direttamente a [reveal_scope.GetFirstNameNoTooltip]."
agot_events_bastard.0903.b:0 "Il reame intero deve conoscere la verità!"
agot_events_bastard.0903.c:0 "No. Per ora la verità deve restare nascosta."
agot_events_bastard.0904.t:0 "Una Verità Sconvolgente"
agot_events_bastard.0904.desc:0 "Apro la lettera con il sigillo di Casa [sharer.GetHouse.GetBaseName] senza cerimonie, ma mentre leggo le parole al suo interno i miei occhi si spalancano per lo shock.\n\n\"Non c'è modo facile di dirlo, quindi lo dirò schiettamente\", comincia [sharer.GetName] dopo le consuete formalità, \"[ROOT.Char.GetFirstName], ti hanno mentito. I tuoi veri genitori sono [real_mother.GetName] e [real_father.GetName]. Giurai di custodire questo segreto, ma non sono riuscito a proseguire nell'inganno. Temo soltanto di averti fatto barattare un fardello con uno più gravoso, ma almeno potrai decidere tu stesso che farne di questa verità\".\n\nLascio cadere la pergamena al suolo, sconvolto. Vorrei rifiutare questa rivelazione, urlare che non è vera, ma nel cuore so che lo è. L'unica domanda è che farne."
agot_events_bastard.0904.desc.blind:0 "Chiedo a [courtier.GetFirstName] di leggermi la lettera con il sigillo di Casa [sharer.GetHouse.GetBaseName], ma potrei pentirmene, perché mentre [Select_CString(courtier.IsFemale,'lei','lui')] legge le parole sulla pagina i miei occhi ciechi si spalancano per lo shock.\n\n\"Non c'è modo facile di dirlo, quindi lo dirò schiettamente.\" [courtier.GetFirstNameNoTooltip] comincia a leggere le parole di [sharer.GetNamePossessive] dopo le consuete formalità. \"[ROOT.Char.GetFirstName], ti hanno mentito. I tuoi veri genitori sono [real_mother.GetName] e [real_father.GetName]. Giurai di custodire questo segreto, ma non sono riuscito a proseguire nell'inganno. Temo soltanto di averti fatto barattare un fardello con uno più gravoso, ma almeno potrai decidere tu stesso che farne di questa verità\".\n\n\"M-mio [ROOT.Char.GetLadyLord]... io... non so che dire!\" esclama [courtier.GetFirstNameNoTooltip] mentre resto paralizzat[Select_CString(ROOT.Char.IsFemale,'a','o')] dallo shock. Vorrei rifiutare questa rivelazione, urlare che non è vera, ma nel cuore so che lo è. L'unica domanda è che farne."
agot_events_bastard.0904.a:0 "Non mi nasconderò. Il mondo intero deve saperlo."
agot_events_bastard.0904.b:0 "Devo dirlo a padre! O... a [father.GetFirstNameNoTooltip]."
agot_events_bastard.0904.b.flavor:0 "Deciderete insieme che fare."
agot_events_bastard.0904.c:0 "È troppo! Ho bisogno di tempo per pensare."
agot_events_bastard.0904.c.flavor:0 "Potrai rivelare tu stesso la verità più avanti, se lo desideri."
agot_events_bastard.0904.d:0 "Non lo rivelerò. Devo farlo sapere a [sharer.GetFirstNameNoTooltip]."
agot_events_bastard.0904.d.flavor:0 "Risponderai chiedendo a [sharer.GetFirstName] di custodire il tuo segreto."
agot_events_bastard.0905.t:0 "Un Segreto Custodito... Conosciuto?"
agot_events_bastard.0905.desc:0 "Mi ero preparat[Select_CString(ROOT.Char.IsFemale,'a','o')] a una delle conversazioni più difficili della mia vita. Provando ciò che avrei detto, lo sguardo che avrei avuto. Mi sono assicurat[Select_CString(ROOT.Char.IsFemale,'a','o')] che il luogo fosse segreto e che non saremmo stat[Select_CString(ROOT.Char.IsFemale,'i','e')] ascoltat[Select_CString(ROOT.Char.IsFemale,'i','e')].\n\nEppure, mentre comincio a intessere il mio racconto, [reveal_scope.GetFirstName] alza una mano per fermarmi. \"[ROOT.Char.GetFirstName]\" comincia a dire [Select_CString(reveal_scope.IsFemale,'lei','lui')], chiamandomi per nome, \"Io lo so già. Lo so da tempo. Non l'ho ancora rivelato ma... lo so.\" dice con un sospiro.\n\nUn segreto mi ha divorat[Select_CString(ROOT.Char.IsFemale,'a','o')] per così tanto tempo, e [Select_CString(reveal_scope.IsFemale,'lei','lui')] lo sapeva già?!"
